x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
-0.03934241380634518 m,-0.03369940244854064 m,-0.03812067838193656 m,-0.03635770204127198 m,-0.03647575813847226 m,-0.016376790818718234 m,-0.037114199288964755 m,-0.027190446491985654 m,-0.01554017044747269 m,0.0464064705063052 m,0.07901505418471544 m,0.07697520187340956 m,0.016332375972872626 m,0.1057376215907837 m,0.04001939741294791 m,0.04518848145716703 m,0.04182157201226744 m,0.021191950474893417 m,0.0599062896999385 m,0.057134551576226045 m,0.058197368850969156 m,0.019094365820819803 m,0.01779513365612928 m,0.008442238817835346 m,-0.01834713046057601 m,-0.012708685457951674 m,0.01431926738177225 m,0.0015218820982738634 m,0.003752198488534475 m,0.0009710181395945483 m,-0.03343542384546083 m,-0.0034376268107010333 m,0.00585063448911427 m,0.007221400428470304 m,0.015080260623577146 m,0.007322020991011868 m,0.007834786336445632 m,0.0016420046247631603 m,-0.0036807106264049594 m,-0.01846942281001418 m,-0.004168770332171334 m,0.001796831776019303 m,0.005477778890671914 m,-0.004885768361248211 m,-0.0142372086699325 m,0.009851998418234587 m,-0.026445144794713826 m,-0.038454678831882916 m,-0.010441689538119192 m,-0.005668380393750283 m,-0.0004801439836299437 m,-0.02067317037363381 m,-0.02725796018712856 m,-0.014315924334368901 m,-0.0015435123019571506 m,-0.014416722639779778 m,-0.007075677730114194 m,-0.016850356224701102 m,-0.0005682627881640201 m,0.02950956019940776 m,-0.029658433045618438 m,-0.0015050143381003522 m,0.006035237306207364 m,-0.03703193756215484 m,-0.03528579812727628 m,-0.0008499372357988477 m,-0.03664985066040316 m,0.005036290582872027 m,0.002733183641986159 m,-0.025067177265768237 m
0.007717872579608098 m,-0.03761151543231378 m,-0.030648751821598097 m,-0.036309676043526196 m,0.012205792222015788 m,0.02405205715662717 m,0.0031639845411923773 m,0.04220463569246036 m,0.0181487146590662 m,0.0453667549581418 m,0.09555039944732258 m,0.06310323007548746 m,0.03998318938365131 m,0.01696730892600229 m,0.002049471069813791 m,0.028048191445339654 m,0.04534474612448136 m,0.031889768614501435 m,0.06217705808169782 m,0.041332031180434825 m,0.06587610765887675 m,0.015767793510011785 m,0.038361883321964996 m,0.035478100416856506 m,-0.010916879232102161 m,-0.011288848058907064 m,0.006029320903419233 m,0.013788151078973243 m,-0.0037184905562277493 m,-0.005006376866223405 m,0.005439129106139973 m,-0.015704239232658068 m,0.0013045290529909437 m,-0.015413282646154158 m,0.01906396699745372 m,0.009985014904334122 m,0.005547574130677191 m,-0.0027799843873772545 m,0.0031149988509788784 m,0.0021999870635305285 m,0.007914003681353421 m,-0.00502677799860507 m,0.0011850407701139432 m,-0.013431293837481206 m,-0.0122640833650145 m,0.00523981294137954 m,0.02701461015166373 m,-0.009482783472510192 m,0.01834100117232751 m,0.00752551898314735 m,0.003585794585919899 m,-0.02886843244294468 m,-0.021277961105784726 m,-0.016838366029272578 m,-0.0019253021303562434 m,-0.016935612417480428 m,-0.03209805788971565 m,-0.020959462349903646 m,-0.009362706096997186 m,0.03597392558490853 m,0.0028888063697216637 m,0.016316934616053658 m,0.013415811882989459 m,0.002228440833082601 m,-0.024473281056597074 m,-0.0034276621854836264 m,-0.015223057091173331 m,-0.02127841678533926 m,-0.03543299777425446 m,-0.03208153504762734 m
0.013246173442844622 m,0.005969542156130103 m,-0.04079473769890285 m,-0.032615855092778645 m,0.012364483386193115 m,0.00950698214868595 m,0.009178764454958355 m,0.0041144576625242735 m,0.01791234506312378 m,0.017815585255704036 m,0.018465866649144402 m,0.027416710286658486 m,0.002394899229706482 m,0.02389655158170001 m,0.030405278196326435 m,0.04194391883412152 m,0.05094209653682924 m,0.04467931375450007 m,0.04674377264822738 m,0.020071520699161738 m,0.036373423352806356 m,0.010717607140094287 m,0.01605621735421181 m,0.030902771023427533 m,0.06377344815161479 m,-0.0019465656067794157 m,-0.003967431949128297 m,0.004296995642384616 m,0.0015828033611029468 m,0.011740485379327481 m,-0.02168758762368128 m,-0.0021119723097626775 m,-0.02174874447265296 m,-0.011385483239436667 m,0.0034298267314483155 m,0.012008467436643855 m,0.002694521688958673 m,-0.0003859230694871485 m,0.006995136153243209 m,0.006185673291348337 m,0.0025789383520731235 m,0.0045249446995612175 m,-0.023389231497660035 m,0.0017280669309798213 m,-0.02533658808062711 m,0.00021458930918782926 m,0.01028352510548558 m,0.000883996457694991 m,-0.005434214649753244 m,0.01580808486647811 m,0.003825331447195879 m,-0.02127702805967857 m,-0.014200083515767403 m,-0.0013372575268633113 m,-0.035846938498465875 m,-0.03504583142147055 m,-0.02810311068935789 m,0.011397019618591742 m,0.014701540240622535 m,0.00988031752668661 m,0.016008878358533707 m,0.02140146629416506 m,0.01349209685099595 m,0.015053010388186294 m,0.0004899208437834091 m,0.0028635917893353735 m,-0.004522050538618316 m,-0.031556684921916656 m,-0.03572684561778772 m,0.019076749749956434 m
-0.010702492492018933 m,-0.0015140429015936263 m,-0.03444899483690378 m,-0.031402706780124134 m,-0.01938619279441056 m,0.005435138129190165 m,0.03332040068577058 m,0.008334607619570278 m,0.004131639106962126 m,0.008480515899865537 m,-0.0262491009008734 m,-0.029830764873505444 m,0.0014111941335208655 m,0.03461157342754362 m,0.047848655088873926 m,0.05298018267330562 m,0.047960317017039955 m,0.010756313324431943 m,0.02190519902820043 m,0.04242133488058286 m,0.02428682549492933 m,0.04152743264474523 m,0.03281661196039565 m,0.05060276020028809 m,0.011515154172467845 m,0.009094629919591313 m,-0.0027176746070374236 m,-0.02761010042994272 m,0.0019465223636281337 m,-0.0347696569988436 m,0.009674671783240996 m,0.004276681749995959 m,-0.02436848005376291 m,0.013548585703876626 m,-0.007904318247536679 m,-0.02114911457046631 m,-0.0029415805284251917 m,0.001254186291060222 m,-0.0017226578063649356 m,-0.02919983853535868 m,0.002680265849622998 m,0.0025124528058206863 m,0.0017692001192664009 m,0.0022330022345080636 m,-0.02982164294681766 m,0.012256090949936294 m,-0.0008130293205788064 m,0.012724326377917095 m,0.011567617310827671 m,-0.027247695094619218 m,-0.02119043950049715 m,-0.014157248514354848 m,-0.005904613272040393 m,-0.005303333697209922 m,-0.04461440248364923 m,0.0003565766861051145 m,-0.007135564219471036 m,-0.001986591446712538 m,-0.03434433701061934 m,0.009691097965589535 m,0.014549605382551789 m,0.023627443991660613 m,0.019429255903904874 m,0.002038521728383813 m,-0.004950837988946688 m,-0.018934884499795857 m,-0.020728498311793686 m,-0.0201158694010779 m,-0.02083070794261843 m,0.017049875625762212 m
-0.012668869178540376 m,-0.0026508845712172047 m,-0.009584129697657318 m,-0.035014103139751285 m,-0.0380175969740435 m,-0.04068841260350098 m,0.0029172585444641186 m,0.006060178769644153 m,0.00773758503341071 m,0.003750016732304573 m,-0.014442029710480142 m,0.003164778393589529 m,-0.02952629735415968 m,-0.019692538637521295 m,-0.027460314950381814 m,0.03555477789872441 m,0.02656139986341799 m,0.0023417395535929586 m,0.04671386692372437 m,0.047022481937069927 m,0.044257068830084734 m,0.042675292350615734 m,0.032402231147919736 m,0.0977581448201974 m,0.030886554160950652 m,0.0005591770283714936 m,-0.004142684663889895 m,-0.033292987132199414 m,-0.0012836386263899158 m,-0.019882999573439974 m,0.000619538600282965 m,-0.015617693594677462 m,0.011289874958315238 m,-0.013189817445756091 m,-0.019502205152782892 m,-0.0007174408209280614 m,-0.0007081455261968017 m,-0.014677557410855968 m,-0.0036093103322585307 m,-0.01873357973241241 m,-0.0038244703632059895 m,-0.023693439118666504 m,-0.016412834398131793 m,-0.0036813896943641566 m,-0.02612342275648416 m,-0.006332223842711926 m,0.016800308542883613 m,0.010437313917414315 m,0.015405377031164846 m,-0.030539554505068622 m,-0.02379408937967753 m,-0.021202507182259467 m,-0.019454665669464077 m,0.005410211407060217 m,-0.004412238573884508 m,-0.043263982731531314 m,0.002641043108951635 m,-0.0005519875571380339 m,0.01470010024401347 m,0.009998942273277578 m,0.012241773358226737 m,0.02163728199852244 m,0.006469415315471849 m,-0.018477344352085368 m,0.001613446806757679 m,-0.023629329511614117 m,-0.017898192947747305 m,0.004034703943510465 m,-0.035082230647759616 m,-0.022061043084015353 m
-0.017095911032182443 m,0.001123189334489183 m,-0.009317450839926522 m,-0.004633180109930635 m,-0.03287740354733515 m,-0.02889591656689916 m,0.0020585929228609245 m,0.004121869460956162 m,0.007699753491312578 m,0.0061013288275724165 m,0.0087658679542848 m,0.006353214679915453 m,-0.0019378365965714295 m,0.004645157378728726 m,0.011786381176879246 m,0.012280616102177788 m,0.0011008809434436273 m,0.01630704217083334 m,0.05506506542871037 m,0.042597662142991766 m,0.0363197538010418 m,0.034753216590477365 m,0.04019144209553005 m,0.0823076742682467 m,0.059134296983696544 m,0.014247515864941107 m,0.0010050358461377584 m,-0.027858188398599992 m,-0.03331659462179104 m,0.0027381469862639563 m,-0.004312280997620377 m,-0.012520424915724249 m,-0.008016932673331922 m,-0.0045906756500606605 m,0.009071415241603376 m,0.0016769255729336408 m,-0.0037132833624831107 m,-0.015920875657126743 m,-0.009905531305303583 m,-0.019852692170207575 m,0.019753052719348574 m,-0.0222973744921795 m,-0.008315229616069786 m,-0.0343265658769063 m,-0.007563082547644484 m,0.00687967763103714 m,0.02930685655754317 m,0.011109701365096925 m,-0.0034860542594010724 m,-0.02637306434757747 m,-0.0011707961898217434 m,-0.026044478986850805 m,0.00313164194806248 m,0.008719379991521947 m,-0.02727929783620553 m,-0.007239381284225743 m,-0.0010672054200178138 m,-0.0030873138591438476 m,0.014295938553342324 m,-0.0013048756566753639 m,0.0043090484218701874 m,-0.0039400319795142025 m,-0.022074654772833213 m,0.0012084075421832097 m,-0.028696272187833216 m,0.0007133942274286653 m,-0.027851380999177167 m,0.02044826387418297 m,-0.018392523828158147 m,-0.010683751838048039 m
-0.012464791088234506 m,-0.005204819630037605 m,-0.03567832621835976 m,-0.025083065063356003 m,-0.02295164128472038 m,-0.04444845492489691 m,0.014600249617856775 m,0.005273587564595061 m,0.003935257314175544 m,0.013876255662388814 m,0.00744663141689017 m,0.0030484659021539073 m,-0.010402091732721885 m,0.0010759708212830787 m,0.0006792974371592209 m,-0.018297717564635718 m,0.005535413559961455 m,0.022641321072782716 m,0.016646280129037905 m,0.05241741676388045 m,0.06404174544698549 m,0.02445072514991864 m,0.04027952356135245 m,0.0005476741214494041 m,0.01663017871752004 m,0.024312201797243915 m,0.003025466459135373 m,-0.021900766013111195 m,-0.012528609913474043 m,-0.034278865316160534 m,-0.013392879697519788 m,-0.03259985622001693 m,-0.013318087815413548 m,0.0032942340021762107 m,0.008089878703501086 m,0.0002878642137176257 m,-0.029690534589256856 m,-0.01094674530985884 m,-0.02473527676350784 m,-0.023685598185871015 m,-0.027957681770253373 m,0.0049767172435011275 m,-0.022780092154832232 m,0.0019753115959915135 m,-0.00148085336753212 m,0.0008239367970546141 m,0.008415233779921039 m,0.0003141000247879333 m,0.01722335860895896 m,0.009973442081331996 m,0.001248051717787746 m,0.0024387945459238836 m,0.008861899902271375 m,0.004079421965457186 m,-0.013549184634662481 m,-0.011431037728186766 m,0.011512006558312748 m,0.0010496990722117516 m,-0.012157722410861993 m,-0.01200210397473711 m,-0.0032428422588424155 m,-0.021647611365921193 m,-0.0068270343402900835 m,0.0031040840687168725 m,-0.0330986786403642 m,0.004337353266386401 m,-0.0012024319912740111 m,0.00178934713546397 m,0.014495515329883801 m,-0.023442681775634355 m
-0.02055051135618058 m,-0.021858076922821823 m,-0.0021272536524570285 m,-0.04099401717477846 m,-0.02334166480272515 m,0.006390993334552064 m,0.0006184016447896568 m,0.0018679710754803125 m,0.002040394691459113 m,0.004678369698613238 m,0.0032495347342766934 m,0.003396134527211103 m,0.005317006427564053 m,-0.04296820486905162 m,0.002709184871097392 m,-0.03155196104373559 m,0.028635777499108173 m,0.01506167425523941 m,-0.002516113803775255 m,-0.01429822662529645 m,-0.021749862201350112 m,-0.016278419112364162 m,0.03703302936853348 m,0.058362087729829426 m,0.062025777734849186 m,0.032557276631191456 m,0.030984880839969975 m,-0.012634602412401108 m,-0.028462865603739118 m,-0.02102482530765215 m,0.018447805147250307 m,-0.016198208206983367 m,-0.015011326386431989 m,-0.02079953713972671 m,0.0001852827295927284 m,-0.004940738931257016 m,-0.012479847675539446 m,-0.023778789933576405 m,-0.026149735308496957 m,-0.02336092620703667 m,-0.02561433481973907 m,-0.028956384559936765 m,0.006907827770756825 m,0.004983694056260646 m,0.007376617257097706 m,0.0015002621804534044 m,-0.03690965714411831 m,-0.038629783556775266 m,-0.03823658222252746 m,-0.03871404110966736 m,0.001458696165872908 m,-0.0035699309656145317 m,-0.0031241371965755604 m,-0.0015697852660387923 m,-0.0038863602322543045 m,-0.009326315792453244 m,-0.007105502125629215 m,-0.011082441271756949 m,-0.017990579749618263 m,-0.010024060756503417 m,0.009221727198838181 m,0.009001211007831245 m,-0.00716841686135794 m,-0.01995963306987747 m,-0.018298957789316006 m,0.0017767014483887067 m,-0.012594948134566408 m,0.0015445045974722404 m,0.003062887275678605 m,0.005559574378747101 m
0.011484366483756503 m,0.00291361709744109 m,-0.009574012073265692 m,0.0033638891746861077 m,0.0039571187407148045 m,0.0003274609287018393 m,0.009472810591731218 m,-0.007460261038623628 m,-0.012365952527567003 m,0.0054236051044540545 m,-0.019446458435822933 m,-0.030278288586544022 m,-0.04216477102399807 m,-0.026187366415449276 m,0.0036697068152022894 m,-0.03758302898651067 m,0.004276567992192781 m,0.0004830617509270496 m,0.003641036031638123 m,-0.024075848334703664 m,-0.021932037708751295 m,0.17597067992473825 m,0.3998068821473737 m,0.048803547619499454 m,0.039361318801127254 m,-0.01517925739961612 m,0.009450341688989283 m,-0.006208508254488265 m,0.02575429490020298 m,-0.028589694423452272 m,-0.011604697179492973 m,-0.01565191104872099 m,-0.0053516837563094555 m,-0.004152804023732415 m,-0.009751755630510672 m,-0.01874573807763369 m,0.00025449641666597245 m,-0.028618233733993748 m,-0.021799673419117482 m,-0.0030591013697645053 m,-0.0049715033597408365 m,0.0008928114046327096 m,-0.020871652595793933 m,0.0017798140878539925 m,-0.009245072996122872 m,0.004835036065252041 m,-0.03746214552366922 m,-0.036356959688752966 m,-0.03819356325664813 m,0.016113247369062833 m,0.0016060099729244826 m,-0.016459982879730717 m,-0.03236527803760225 m,-0.005914720732739909 m,-0.03778996676393831 m,-0.04199919371811234 m,-0.03266033878797714 m,-0.006717236594951714 m,-0.013188244131029592 m,0.0008697362644625173 m,-0.021262793518332046 m,0.006579472658131635 m,0.005971322604864326 m,-0.017111628994456396 m,-0.01339956463505132 m,-0.023469748408032842 m,-0.005660477568348199 m,0.0013721878162868961 m,0.0027424814598120406 m,-0.013632944467161678 m
0.005769853540936509 m,0.005246133657831109 m,-0.0015467758040692559 m,-0.001340535575206303 m,0.008211984939276107 m,0.027873978829457968 m,0.027072750459762318 m,0.016822651438115344 m,0.00605112289867904 m,-0.003156078758362213 m,-0.023600815951486 m,-0.04475613144483859 m,-0.03782471890711392 m,-0.014458738542149518 m,0.004656825033126921 m,-0.016438075376814965 m,0.004972763187776508 m,0.00380264542298292 m,0.004670364660572801 m,0.3480483712049427 m,1.884825295287751 m,2.365097277278064 m,2.585959797494052 m,1.3253588394782376 m,0.4032125003526694 m,0.06919966497639862 m,0.000984606322095516 m,-0.006303844229865518 m,0.002650335433234119 m,0.0027063337858272973 m,-0.014401133623994866 m,-0.005985118755770458 m,0.07474211310667656 m,-0.018251108802342486 m,-0.019676435508923618 m,0.007428707237988164 m,0.004028426676544683 m,-0.004582180722106699 m,0.002827558928995444 m,-0.002226551447112257 m,-4.2486697363841586e-5 m,-0.006352836080697699 m,-0.0042958580134744295 m,-0.005631976111228454 m,-0.008242424904498336 m,-0.012217102434664895 m,-0.030988027517768302 m,-0.03519167168698445 m,-0.007320381466644932 m,-0.03126638241630886 m,-0.03968829385004469 m,-0.028817719311920342 m,-0.023050238436919557 m,-0.010103308107193953 m,-0.02111042979768385 m,-0.0005821261571092862 m,-0.030291226514020053 m,-0.02395433548613468 m,-0.0062065711801473356 m,0.08648124869205631 m,0.3580137956662206 m,0.34096804201312736 m,0.029741445686074286 m,-0.009482007017599159 m,0.002150775081215528 m,-0.01738278784717906 m,-0.0030687354896592467 m,0.0039396062415342215 m,0.013439830453950918 m,-0.014046386256769239 m
1.9585737861141865 m,2.4488687912276603 m,2.5027859830059853 m,1.9067642122808408 m,1.3525891260328393 m,1.2483252039161385 m,1.4833396032957538 m,0.9139670273264642 m,0.3854997069597417 m,0.01675748519474496 m,0.0036204905979957402 m,-0.014976919306469938 m,-0.02594211517893541 m,-0.03367945436440323 m,-0.01717522647354741 m,0.012497690350329549 m,0.01146353569933467 m,0.8776224003342747 m,1.3638224402389412 m,2.416375428858913 m,4.461345854347918 m,4.4987538329264325 m,4.034734315049043 m,3.302601829690225 m,2.419459725477857 m,1.2042649241607108 m,0.47906168073628663 m,0.4962310467405757 m,1.0795664006998251 m,1.5027296048464578 m,2.0021117061754836 m,2.161128718586866 m,2.045681324947857 m,2.381219667543874 m,1.9575147843485396 m,1.923682740081766 m,1.6680818718851214 m,2.620981091329604 m,2.2215635641346836 m,2.181258003165773 m,1.9574409003747206 m,2.2954229746371198 m,2.5775016341932613 m,2.799627523746345 m,2.4830480926602263 m,1.7328315469521343 m,1.080401444778829 m,0.7911452103356993 m,0.46566439535347115 m,0.10656423667578707 m,0.21222757454329155 m,0.7876068618312004 m,1.9218194915957767 m,2.105040262023479 m,2.0428238930729137 m,1.1019635150201879 m,0.500472868954553 m,0.6262219302632701 m,1.500345401109115 m,2.743197841651096 m,3.761034730713625 m,3.501119074218529 m,3.1490808970539703 m,2.7193265061130276 m,1.9234311116286236 m,1.0441878871854868 m,0.4746238964693461 m,0.47087639606001375 m,1.0355799399280912 m,1.4123907007149086 m
4.592795716023577 m,4.775625272177752 m,4.711430854261241 m,4.11395493907391 m,3.2621434853306575 m,3.190146087548751 m,3.4866694519259944 m,3.5218641247200004 m,3.2639618928742173 m,2.3072445004844333 m,2.529482324572715 m,1.8530219739892466 m,1.08777451598149 m,0.21394030133023634 m,0.3302196489967848 m,0.7070292979392896 m,1.372229510364786 m,2.111123731592226 m,3.0596383566873406 m,3.839385787201305 m,5.49353387272814 m,5.67103909909159 m,4.934365074391064 m,4.555503054822633 m,4.161700633783621 m,3.035322069016498 m,2.5790044261303144 m,2.9414478995461586 m,4.081812353479851 m,4.190782637242766 m,4.675509563149927 m,5.205414007237298 m,5.335482222202092 m,5.7533183229764155 m,5.3975226274023775 m,4.963681844755133 m,4.988612455586431 m,5.048893434154262 m,5.4194455873196254 m,5.547650149993931 m,6.119459434001339 m,6.124450360437333 m,6.614086948302376 m,6.263924763938885 m,6.2098894717239155 m,5.6331322719172725 m,4.9857932935479745 m,4.444959311743656 m,3.588494623679072 m,2.414523925148803 m,2.7744032646822028 m,4.010779145033641 m,5.129803825396511 m,6.171373510266815 m,6.31505820189005 m,5.317424869868244 m,3.722384897767686 m,3.565336272420641 m,4.291300078994329 m,5.52334602543932 m,6.129731983905483 m,6.606276039077596 m,6.949456502551978 m,6.740985659349125 m,5.980023434977522 m,4.507643325347157 m,3.4515820270870314 m,3.3491280336155747 m,4.02219759077968 m,4.4321647624557805 m
6.435621644067044 m,6.355825939108225 m,6.176059463957191 m,4.967217742698242 m,5.068883022538987 m,5.070616851296666 m,5.705761385890167 m,5.71957547845275 m,5.071360093262509 m,5.491143382851252 m,4.300508419001172 m,3.155766546666161 m,1.910776585744589 m,1.3449881481335204 m,1.3432481635495641 m,1.5314583040582157 m,2.3666025527974845 m,2.9815780377039296 m,3.829741259177549 m,4.408109492080587 m,5.584831103496509 m,6.462841358856398 m,6.172346534648984 m,5.731098165113668 m,5.528689038512429 m,4.941839473022984 m,4.948363995694731 m,4.777177624075488 m,5.963639359941734 m,6.417638247710851 m,7.496405125553256 m,8.283993248740831 m,8.672142377675012 m,7.97491317371799 m,7.200013426019279 m,7.109020700010365 m,7.107246402395713 m,6.696085110553401 m,6.998225904487132 m,6.707619347067148 m,7.2287190154684104 m,8.736719280025003 m,8.41601594553919 m,8.833421498568324 m,8.997954985647457 m,8.065103814499214 m,7.422577419488345 m,7.205753559384089 m,6.198481500104133 m,5.147820074075295 m,5.179251683593069 m,5.969788742607026 m,6.985242315155897 m,8.01031790899808 m,8.997005108608935 m,8.178446870742636 m,7.833659141272239 m,6.890375319067214 m,6.8721699524967725 m,7.154184449891549 m,7.576371853298145 m,8.12777458518337 m,7.907636146438438 m,7.747100097735387 m,7.333966171462482 m,6.42144842360592 m,6.238849559277714 m,5.91398438242425 m,6.532825786347946 m,6.720407579615138 m
7.785366187257779 m,7.490617118636592 m,6.654805902421607 m,6.6771675987244095 m,7.137429795484103 m,7.2095445722508416 m,7.5554249575288495 m,7.512925896888412 m,7.067594453256788 m,6.7686233588869555 m,5.859227159082849 m,4.024345536866171 m,2.77689829658015 m,2.294384538577951 m,2.019942424958792 m,2.346341456008041 m,2.9229601251707393 m,3.7255897009264984 m,4.820966444049255 m,5.174796140661854 m,5.840781587558361 m,6.795759616725988 m,7.008691871798277 m,7.089665287379894 m,6.674064445355562 m,6.175824475945255 m,6.506605956439444 m,6.4900706334645335 m,7.433994456542663 m,7.937598881783444 m,8.951602238337593 m,10.077118387714918 m,10.164776561641986 m,10.488071817149944 m,9.168981016186741 m,8.938793090368051 m,8.605021315035266 m,8.296193188443162 m,8.425484639720047 m,7.993754519120344 m,8.709078227318827 m,10.086664395681858 m,9.739404504975326 m,10.1143518405827 m,10.59939787245817 m,9.299755078849351 m,8.363174442163071 m,8.156543133283968 m,6.963812760630539 m,6.358786308904229 m,6.564917667314127 m,7.300944905423464 m,8.524494311492646 m,9.632242985404858 m,9.88007644795131 m,9.842310842037413 m,9.643578638121866 m,9.54399105809258 m,9.546379469578326 m,8.711975214424363 m,8.695929115739432 m,8.373328422405244 m,7.519222225473534 m,7.5832493053623224 m,7.460717007891468 m,6.764214540218887 m,6.904628551104565 m,7.039683316766812 m,7.632826291023015 m,7.651807173129463 m
9.04115664620701 m,8.572102541646718 m,8.34305170227545 m,8.246258285080206 m,9.10071920190813 m,9.222418935131333 m,9.229144912148488 m,9.414494035605369 m,9.131297673973702 m,8.07296931959657 m,6.825455693391728 m,5.850592061336069 m,4.761303889783878 m,4.404218025325552 m,3.634610980763103 m,3.8990679250445943 m,5.120677261566929 m,5.238030421663627 m,5.648127610622371 m,6.075347577590467 m,6.811294965749948 m,7.212773230843528 m,7.698055930108826 m,7.892055583951336 m,7.606964803398551 m,7.157666721511621 m,7.741276672006638 m,8.040129718459394 m,8.621863401673362 m,9.561920748865436 m,10.296112462726594 m,11.679033159555988 m,11.583489482248748 m,11.814089556335848 m,11.261018868783768 m,10.74430441365622 m,9.554680226319956 m,9.483467352102632 m,9.770361143467415 m,9.178747243445574 m,9.990758850718482 m,10.495573277107749 m,11.099335699911574 m,11.585626558984618 m,12.334778254019728 m,10.724077205556217 m,9.530077149754522 m,9.095671282421737 m,7.940980096248605 m,7.463302770145358 m,8.033832107839107 m,8.757879381347887 m,9.293378006206556 m,9.930174276846987 m,10.667415911204184 m,11.092687068818957 m,11.337920364566134 m,10.84230405530727 m,10.831504687824651 m,10.119750554081211 m,9.824146553322247 m,9.202127322169712 m,8.671829940286411 m,8.159746689538462 m,7.750329850968992 m,7.539820374713617 m,7.7684748432480255 m,7.9468793560624285 m,8.298993271122438 m,9.039287217827432 m
10.200230353959881 m,9.958543281777693 m,9.67304042543497 m,9.841088293076304 m,10.245198561469259 m,11.568829365027355 m,11.972959395814229 m,11.669150124685274 m,11.075008766616413 m,10.068978720833961 m,8.28639811305726 m,6.696937792817025 m,6.241131397330193 m,5.963497924653595 m,5.659475852384496 m,5.767513128998878 m,5.844634328213523 m,6.015734538767738 m,5.96879515125714 m,6.9139734642158 m,7.219623359030706 m,7.848686617975787 m,7.988685283571776 m,8.46999341293322 m,8.393838242733132 m,8.27532825671262 m,8.704776289882453 m,9.738770974074242 m,10.567801377633721 m,11.054729836684594 m,11.89922443424387 m,13.138948875550149 m,13.426374190443049 m,12.865916477503504 m,12.655955175392734 m,12.274939965706494 m,11.1437435926683 m,10.617516256900295 m,10.713211242741735 m,10.265811952379316 m,10.625837511395176 m,11.294303511322852 m,12.259146081011231 m,12.826931604193774 m,13.063883106379862 m,12.106276250174282 m,11.400250913175896 m,10.518607412572543 m,9.356485281275091 m,9.474428652776247 m,9.457079438149627 m,9.76102237662176 m,10.673156133223038 m,11.435915003170486 m,12.102437047072073 m,12.65118422160095 m,12.945769181820538 m,12.785478485358475 m,12.581511285928485 m,12.33628924445491 m,11.841313227032181 m,10.797009943217468 m,9.641773333871946 m,8.468242408890063 m,8.17527445777531 m,8.02553511502326 m,7.928355624964304 m,8.265108901605473 m,8.649912498101891 m,9.914820962981302 m
10.549614946546551 m,10.949255501538868 m,11.083172820180597 m,11.164531632958823 m,11.87170520330945 m,12.682946085938159 m,13.397328828115253 m,13.999710062309791 m,13.429151869714087 m,12.123502438851045 m,10.395312895302073 m,8.115698411856524 m,8.153616815096047 m,7.939832934822849 m,7.164242548720846 m,7.173015424873764 m,7.09276601183775 m,7.274215737643463 m,7.423710618640431 m,7.906795051270404 m,8.488321194221495 m,8.835976257046877 m,9.556720139661113 m,9.526040031375675 m,9.721935684316481 m,9.48467600789839 m,10.210481584941977 m,11.865362449946826 m,12.331373457381428 m,13.114338176035947 m,13.739522323279491 m,14.969905150504214 m,15.00416503217026 m,14.620457202340635 m,13.947491065618497 m,13.725088069888098 m,12.74767741757677 m,12.485818352688025 m,12.497993522449189 m,12.333496442110924 m,12.250616185583059 m,12.474492087137666 m,13.274347263961044 m,13.971104844578331 m,13.807534582018501 m,13.50795758643245 m,13.294635087584656 m,12.044189257017951 m,11.00146532063982 m,11.15037170270858 m,11.07499369658073 m,11.961823778117395 m,12.632504979444601 m,13.625922213056196 m,14.855642275252674 m,15.56393382960336 m,15.560428087032154 m,15.330121761844115 m,14.434129289219268 m,13.761834749884702 m,13.230309068977146 m,12.53931040213995 m,11.091310119556358 m,10.451270881975187 m,9.978943992251029 m,8.986247898520094 m,8.660416401791327 m,8.867646539162148 m,9.317767134961937 m,9.568042325333753 m
